# {
#   "profile": "Insectendoos Specimen Import",
#   "version": "1.0",
#   "delimiter": ";",
#   "ignoreEmptyRows": true,
#   "isConfidential": false,
#   "steps": [
#     {
#       "step": 1,
#       "target": "parent_object",
#       "contextKey": "DoosId",
#       "labelTemplate": "Insectendoos: {0}",
#       "objectTypeId": "019fcd20-b442-755f-af50-9cdf9716990d",
#       "parameters": [
#         { "parameterId": "019fc74c-cf8c-74ff-a3b6-b6d21c651a19", "column": 1 }
#       ]
#     },
#     {
#       "step": 2,
#       "target": "child_object",
#       "labelTemplate": "Specimen groep: {2} {3}",
#       "objectTypeId": "019fcd20-b56f-76ae-9bf0-f98a0354b7ca",
#       "relations": [
#         { 
#           "relationTypeId": "019fad01-ca30-769d-8c9c-6fc70fa9db0a", 
#           "relatedContextKey": "DoosId", 
#           "direction": "outgoing" 
#         }
#       ],
#       "parameters": [
#         { "parameterId": "019fad6f-c149-7795-b3e5-751c8b2b7949", "column": 4 }
#       ]
#     }
#   ]
# }
"15-12: 17.10.17L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 16";"Homalota";"plana";6
"15-12: 17.10.17L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 16";"Stenusa";"rubra";1
"15-12: 17.10.17L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 16";"Phytosus";"spinifer";3
"15-12: 17.10.17L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 16";"Actosus";"balticus";1
"15-12: 17.10.17L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 16";"Actosus";"nigriventris";1
"15-12: 17.10.17L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 16";"Leptusa";"pulchella";1
"15-12: 17.10.17L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 16";"Pachygluta";"ruficollis";1
"15-12: 17.10.17L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 16";"Euryusa";"optabilis";1
"15-12: 17.10.17L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 16";"Euryusa";"sinuata";1
"15-12: 17.10.17L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 16";"Bolitochara";"lucida";1
"15-12: 17.10.17L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 16";"Bolitochara";"lunulata";1
"15-12: 17.10.17L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 16";"Ditropalia";"bella";2
"15-12: 17.10.17L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 16";"Ditropalia";"obliqua";3
"15-12: 17.10.17L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 16";"Autalia";"rivularis";1
"15-12: 17.10.17L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 16";"Cordalia";"obscura";2
"15-12: 17.10.17L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 16";"Falagria";"sulcata";1
"15-12: 17.10.17L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 16";"Falagria";"sulcatula";1
"15-12: 17.10.17L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 16";"Anaulacaspis";"thoracica";6
"15-12: 17.10.17L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 16";"Ischnopoda";"leucopus";3
"15-12: 17.10.17L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 16";"Ischnopoda";"umbratica";3
"15-12: 17.10.17L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 16";"Tachyusa";"constricta";5
"15-12: 17.10.17L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 16";"Tachyusa";"coarctata";3
"15-12: 17.10.17L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 16";"Tachyusa";"balteata";6
;;;;
"15-13: 17.10.18L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 17";"Gnypeta";"carbonaria";2
"15-13: 17.10.18L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 17";"Gnypeta";"rubrior";1
"15-13: 17.10.18L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 17";"Amischa";"analis";2
"15-13: 17.10.18L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 17";"Amischa";"cavifrons";1
"15-13: 17.10.18L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 17";"Notothecta";"flavipes";1
"15-13: 17.10.18L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 17";"Sipalia";"cicellaris";7
"15-13: 17.10.18L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 17";"Glossola";"gregaria";3
"15-13: 17.10.18L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 17";"Aloconota";"currax";1
"15-13: 17.10.18L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 17";"Aloconota";"insecta";1
"15-13: 17.10.18L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 17";"Hygroecia";"palustris";1
"15-13: 17.10.18L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 17";"Hygroecia";"terminalis";2
"15-13: 17.10.18L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 17";"Hygroecia";"luridipennis";1
;;;;
"15-14: 17.10.19L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 18";"Hygroecia";"elongulata";3
"15-14: 17.10.19L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 18";"Hygroecia";"hygrobia";1
"15-14: 17.10.19L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 18";"Hygroecia";"volans";1
